alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
angkor-restaurant-palmdale,"['vietnamese', 'cambodian', 'chinese']","['Vietnamese', 'Cambodian', 'Chinese']",34.60315,-118.1870846,(661) 266-9400,1062.745101537618,Yh0Dblx5Ni96qHY4oMVyow,https://s3-media1.fl.yelpcdn.com/bphoto/Gu1bYHC-xtPVKa3AxMq2VQ/o.jpg,3135 Rancho Vista Blvd,Ste H,,Palmdale,US,CA,93551,Angkor Restaurant,+16612669400,$$,4.0,130,[],https://www.yelp.com/biz/angkor-restaurant-palmdale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vietnamese-noodles-palmdale,"['noodles', 'vietnamese']","['Noodles', 'Vietnamese']",34.578918,-118.12663,(661) 265-8881,5430.16418900959,IJrsqPq-r5qTHHDt9TNCXQ,https://s3-media1.fl.yelpcdn.com/bphoto/vg-wYoTOonNnDBetH0Dnfw/o.jpg,230 E Palmdale Blvd,,,Palmdale,US,CA,93150,Vietnamese Noodles,+16612658881,$,4.5,76,[],https://www.yelp.com/biz/vietnamese-noodles-palmdale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-stop-lancaster,['vietnamese'],['Vietnamese'],34.689039484471,-118.167467856639,(661) 940-8887,9191.69542708889,spDB5fBlDV3bsvhEI_n5qQ,https://s3-media3.fl.yelpcdn.com/bphoto/pcrHBgk_dOaXlaur5oTY2g/o.jpg,2062 W Avenue J,,,Lancaster,US,CA,93536,Pho Stop,+16619408887,$,3.5,188,[],https://www.yelp.com/biz/pho-stop-lancaster?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
boba-cove-and-cafe-lancaster-4,"['cafes', 'bubbletea']","['Cafes', 'Bubble Tea']",34.6900465030404,-118.173603162105,(661) 945-2929,9276.057759016,UkKv1JiFBACI8XYTYCYpvQ,https://s3-media3.fl.yelpcdn.com/bphoto/CUDNdklhzg-RgiO0DdSadg/o.jpg,44445 Valley Central Way,,,Lancaster,US,CA,93536,Boba Cove & Cafe,+16619452929,$,4.5,362,['pickup'],https://www.yelp.com/biz/boba-cove-and-cafe-lancaster-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-palms-restaurant-palmdale,['thai'],['Thai'],34.5799,-118.11221,(661) 272-1267,6497.814112229487,FA1GsBT0UBXcaqBGWajWMg,https://s3-media4.fl.yelpcdn.com/bphoto/Lm1ju8cQOhPAOiy4hNseTg/o.jpg,957 E Palmdale Blvd,Ste 2,,Palmdale,US,CA,93550,Thai Palms Restaurant,+16612721267,$,4.5,119,[],https://www.yelp.com/biz/thai-palms-restaurant-palmdale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
