alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-saigon-port-hueneme-3,['vietnamese'],['Vietnamese'],34.155306195583,-119.19472103921,(805) 240-9334,1103.7815608502626,CzrxICTtbTVt7s7Dt0WrPQ,https://s3-media4.fl.yelpcdn.com/bphoto/SqFDsdVsxdQ0t-Os3xYx0Q/o.jpg,826 N Ventura Rd,,,Port Hueneme,US,CA,93041,Pho Saigon,+18052409334,$$,4.5,885,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-saigon-port-hueneme-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
i-love-pho-oxnard-4,['vietnamese'],['Vietnamese'],34.174401,-119.160851,(805) 385-3087,4291.5462594646515,nDUXyAAcILpuGy2P1NBmBQ,https://s3-media3.fl.yelpcdn.com/bphoto/CdO3HGwT1_fGS28y_rTPEQ/o.jpg,2731 S Rose Ave,Ste B103,,Oxnard,US,CA,93033,I Love Pho,+18053853087,$,3.5,130,[],https://www.yelp.com/biz/i-love-pho-oxnard-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ragin-pot-port-hueneme,"['hotpot', 'asianfusion', 'seafood']","['Hot Pot', 'Asian Fusion', 'Seafood']",34.176303,-119.20647,(805) 663-0135,1714.5592052563336,HUAG1gN-47fNBQjV1KT91Q,https://s3-media1.fl.yelpcdn.com/bphoto/srMgfEOBDicCjUUsQiGREQ/o.jpg,301 W Channel Islands Blvd,,,Port Hueneme,US,CA,93041,Ragin' Pot,+18056630135,$$,4.5,136,[],https://www.yelp.com/biz/ragin-pot-port-hueneme?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
blue-elephant-thai-port-hueneme,['thai'],['Thai'],34.176853291919,-119.21868100179,(805) 382-9717,2192.0990182747255,0avhT5_bFFtBlw51VmIFuQ,https://s3-media1.fl.yelpcdn.com/bphoto/lDqa4tt9VhKnxAyE5WVniA/o.jpg,718 W Channel Islands Blvd,,,Port Hueneme,US,CA,93041,Blue Elephant Thai,+18053829717,$$,4.0,267,"['delivery', 'pickup']",https://www.yelp.com/biz/blue-elephant-thai-port-hueneme?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-quality-restaurant-oxnard,['thai'],['Thai'],34.18802,-119.17804,(805) 834-3114,3873.7129377527976,j80EwiFwbiSwzPdLdqiGfQ,https://s3-media1.fl.yelpcdn.com/bphoto/-Z05gpxL8UIZjeaJA68lvQ/o.jpg,1201 Saviers Rd,,,Oxnard,US,CA,93033,Thai Quality Restaurant,+18058343114,$$,4.5,44,[],https://www.yelp.com/biz/thai-quality-restaurant-oxnard?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
suvarnaphumi-thai-cuisine-oxnard,"['thai', 'bars']","['Thai', 'Bars']",34.1785747,-119.1770596,(805) 486-1300,3200.72155231511,4KiQlSo2-58m2aKYWcyf-A,https://s3-media3.fl.yelpcdn.com/bphoto/2SoHrj18X8Y9V0f8jjsGMQ/o.jpg,2148 Saviers Rd,,,Oxnard,US,CA,93033,Suvarnaphumi Thai Cuisine,+18054861300,$$,4.5,270,"['delivery', 'pickup']",https://www.yelp.com/biz/suvarnaphumi-thai-cuisine-oxnard?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
