alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
saigon-flavor-ridgecrest-2,"['vietnamese', 'thai', 'chinese']","['Vietnamese', 'Thai', 'Chinese']",35.635955,-117.670209,(760) 371-7500,14006.36756818118,JHA4g39R5tMUh-jX2Suf_w,https://s3-media2.fl.yelpcdn.com/bphoto/DvyjEh12Y3o9Ydc5lQkGkQ/o.jpg,819 N China Lake Blvd,,,Ridgecrest,US,CA,93555,Saigon Flavor,+17603717500,$,4.0,174,[],https://www.yelp.com/biz/saigon-flavor-ridgecrest-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
blue-ginger-pho-tehachapi,['vietnamese'],['Vietnamese'],35.12466,-118.46849,(661) 823-1199,82799.33257410217,91q3hprEJmYyMYuymtVpUg,https://s3-media3.fl.yelpcdn.com/bphoto/f4YAXVCcVPzjlsDthzCrBw/o.jpg,1121 W Valley Blvd,,,Tehachapi,US,CA,93561,Blue Ginger Pho,+16618231199,$,4.0,176,[],https://www.yelp.com/biz/blue-ginger-pho-tehachapi?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bangkok-house-restaurant-ridgecrest,['thai'],['Thai'],35.65085,-117.67415,(760) 446-0271,13537.526662577191,oU1cUuR_FeRRi-omXPh6Ig,https://s3-media2.fl.yelpcdn.com/bphoto/yR-TaX9xFxyMlzcR-Ub28Q/o.jpg,303 W Inyokern Rd,,,Ridgecrest,US,CA,93555,Bangkok House Restaurant,+17604460271,$$,4.0,104,[],https://www.yelp.com/biz/bangkok-house-restaurant-ridgecrest?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-hachapi-tehachapi,['thai'],['Thai'],35.1310227,-118.4468553,(661) 823-4891,80920.30070118346,7P7uOBwktb2jWW-u9R0K8w,https://s3-media1.fl.yelpcdn.com/bphoto/zbw2g2yixiidTBL4Av_jeA/o.jpg,119 East F Street,,,Tehachapi,US,CA,93561,Thai Hachapi,+16618234891,$$,4.5,121,[],https://www.yelp.com/biz/thai-hachapi-tehachapi?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
the-great-wall-tehachapi,"['chinese', 'buffets']","['Chinese', 'Buffets']",35.123918,-118.469282,(661) 822-9137,82910.51263809914,tQqY4If1y6ojBy_ygShH3w,https://s3-media4.fl.yelpcdn.com/bphoto/oAf99wjWSuHhg7Ane1OFTg/o.jpg,807 Tucker Rd,Ste F,,Tehachapi,US,CA,93561,The Great Wall,+16618229137,$$,3.0,50,[],https://www.yelp.com/biz/the-great-wall-tehachapi?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
